
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.29.20:55755    13.107.5.93:443        TIME_WAIT       0
  TCP    192.168.29.20:55762    206.206.126.252:8008   SYN_SENT        6012
  TCP    192.168.29.20:55768    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.29.20:56315    48.218.107.37:443      ESTABLISHED     4512
  TCP    192.168.29.20:56338    3.109.104.219:443      ESTABLISHED     28068
  TCP    192.168.29.20:56341    170.114.52.5:443       CLOSE_WAIT      1720
  TCP    192.168.29.20:57430    100.20.60.200:443      ESTABLISHED     28068
  TCP    192.168.29.20:58209    13.67.9.5:443          ESTABLISHED     10648
  TCP    192.168.29.20:58804    20.207.70.99:443       ESTABLISHED     10724
  TCP    192.168.29.20:59025    140.82.114.21:443      ESTABLISHED     10648
  TCP    192.168.29.20:59655    20.42.65.88:443        TIME_WAIT       0
  TCP    192.168.29.20:60115    20.50.80.212:443       TIME_WAIT       0
  TCP    192.168.29.20:60116    20.50.80.212:443       TIME_WAIT       0
  TCP    192.168.29.20:60497    140.82.113.25:443      ESTABLISHED     2496
  TCP    192.168.29.20:63484    148.113.9.58:443       ESTABLISHED     5892
  TCP    192.168.29.20:63695    162.247.241.14:443     ESTABLISHED     28068
  TCP    192.168.29.20:64288    15.197.213.252:443     ESTABLISHED     28068
  TCP    192.168.29.20:64290    134.224.240.220:443    ESTABLISHED     1720
  TCP    [::]:135               [::]:0                 LISTENING       1468
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3306              [::]:0                 LISTENING       7356
  TCP    [::]:3389              [::]:0                 LISTENING       1736
  TCP    [::]:5000              [::]:0                 LISTENING       23284
  TCP    [::]:7070              [::]:0                 LISTENING       5892
  TCP    [::]:8080              [::]:0                 LISTENING       7724
  TCP    [::]:15611             [::]:0                 LISTENING       23440
  TCP    [::]:27000             [::]:0                 LISTENING       9240
  TCP    [::]:33060             [::]:0                 LISTENING       7356
  TCP    [::]:49664             [::]:0                 LISTENING       1148
